Code,Chapter,Category,Subcategory,Level 2,Description
"T42.72XD","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, subsequent encounter"
"T42.72XA","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, initial encounter"
"Z96.669","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Presence of unspecified artificial ankle joint"
"Z11.59","Factors influencing health status and contact with health services","Persons encountering health services for examinations","-","-","Encounter for screening for other viral diseases"
"Z11.52","Factors influencing health status and contact with health services","Persons encountering health services for examinations","-","-","Encounter for screening for COVID-19"
"Z11.51","Factors influencing health status and contact with health services","Persons encountering health services for examinations","-","-","Encounter for screening for human papillomavirus (HPV)"
"T21.35XS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of buttock, sequela"
"T21.35XA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of buttock, initial encounter"
"O31.21X9","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, other fetus"
"T21.35XD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of buttock, subsequent encounter"
"T24.209S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of unspecified lower limb, except ankle and foot, sequela"
"Z59.48","Factors influencing health status and contact with health services","Persons with potential health hazards related to socioeconomic and psychosocial circumstances","-","-","Other specified lack of adequate food"
"T24.209D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of unspecified lower limb, except ankle and foot, subsequent encounter"
"Z59.41","Factors influencing health status and contact with health services","Persons with potential health hazards related to socioeconomic and psychosocial circumstances","-","-","Food insecurity"
"H20.049","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Secondary noninfectious iridocyclitis, unspecified eye"
"S36.429D","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of unspecified part of small intestine, subsequent encounter"
"H20.041","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Secondary noninfectious iridocyclitis, right eye"
"H20.043","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Secondary noninfectious iridocyclitis, bilateral"
"H20.042","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Secondary noninfectious iridocyclitis, left eye"
"S91.259A","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Open bite of unspecified toe(s) with damage to nail, initial encounter"
"S91.259D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Open bite of unspecified toe(s) with damage to nail, subsequent encounter"
"S36.429S","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of unspecified part of small intestine, sequela"
"H20.059","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Hypopyon, unspecified eye"
"S91.259S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Open bite of unspecified toe(s) with damage to nail, sequela"
"S36.428D","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of other part of small intestine, subsequent encounter"
"H20.052","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Hypopyon, left eye"
"T57.1X1A","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of phosphorus and its compounds, accidental (unintentional), initial encounter"
"H20.051","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Hypopyon, right eye"
"H20.053","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Hypopyon, bilateral"
"D10.0","Neoplasms","Benign neoplasms","-","-","Benign neoplasm of lip"
"O35.HXX0","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, not applicable or unspecified"
"S82.041K","Injury, poisoning and certain other consequences of external causes","Injuries to the knee and lower leg","-","-","Displaced comminuted fracture of right patella, subsequent encounter for closed fracture with nonunion"
