Code,Chapter,Category,Subcategory,Level 2,Description
"S52.364J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S52.364G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing"
"S52.364H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing"
"T21.41XS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of unspecified degree of chest wall, sequela"
"L02.11","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Cutaneous abscess of neck"
"S52.364E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing"
"L02.12","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Furuncle of neck"
"S52.364F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"L02.13","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Carbuncle of neck"
"S52.364C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.364D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing"
"S65.201D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of superficial palmar arch of right hand, subsequent encounter"
"S52.364A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for closed fracture"
"S52.364B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, initial encounter for open fracture type I or II"
"W59.12XD","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by nonvenomous snake, subsequent encounter"
"T21.41XA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of unspecified degree of chest wall, initial encounter"
"W59.12XS","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by nonvenomous snake, sequela"
"T21.41XD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of unspecified degree of chest wall, subsequent encounter"
"S52.363R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S65.201S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of superficial palmar arch of right hand, sequela"
"S52.363S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, sequela"
"S52.365R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S52.365S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, sequela"
"S52.365P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion"
"S52.365Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion"
"S52.365N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"W62.0XXA","External causes of morbidity","Exposure to animate mechanical forces","-","-","Contact with nonvenomous frogs, initial encounter"
"S52.365M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion"
"W62.0XXD","External causes of morbidity","Exposure to animate mechanical forces","-","-","Contact with nonvenomous frogs, subsequent encounter"
"S52.365J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S52.365K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion"
"S52.365H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing"
"S52.365F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"L02.01","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Cutaneous abscess of face"
"S52.365G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing"
"L02.02","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Furuncle of face"
"S52.365D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing"
"L02.03","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Carbuncle of face"
"S52.365E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing"
"S52.365B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type I or II"
"S52.365C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
